timestamp,timestamp_iso,rel_ms,channel,can_id,source,m33_ms,kind,session_id,subject_id,trial_id,trial_index,label,raw_hex,emg_raw,emg_filt,emg_abs,hr_raw,hr_bpm,flags,adc0,adc1,adc2,adc3,emg_biceps,emg_triceps,emg_ant_deltoid,emg_flags,emg_seq,node_state,node_err_cnt,node_q_fill,ack_cmd,ack_seq,ack_status,motor_slot,ros_slot,m33_joint_id,motor_id,motor_seq,motor_flags,motor_fresh,motor_fault,motor_saturated,motor_pos_mrad,motor_vel_mrad_s,motor_torque_mNm,motor_temp_c,output_current_cmd_a,limit_current_a,shoulder_pos_mrad,shoulder_vel_mrad_s,shoulder_torque_mNm,shoulder_temp_c,shoulder_output_current_cmd_a,shoulder_limit_current_a,shoulder_saturated,shoulder_fresh,shoulder_fault,shoulder_stale,elbow_pos_mrad,elbow_vel_mrad_s,elbow_torque_mNm,elbow_temp_c,elbow_output_current_cmd_a,elbow_limit_current_a,elbow_saturated,elbow_fresh,elbow_fault,elbow_stale,target_shoulder_output_current_cmd_a,target_shoulder_vel_mrad_s,target_shoulder_pos_mrad,target_elbow_output_current_cmd_a,target_elbow_vel_mrad_s,target_elbow_pos_mrad
1782904419.212182,2026-07-01T19:13:39.212,1226800,COM20,,serial,2698460,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698460,436,31,0,1314,0,159,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,436,31,0,1314,436,31,0,0,159,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.232294,2026-07-01T19:13:39.232,1226820,COM20,,serial,2698480,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698480,436,31,0,1314,0,159,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,436,31,0,1314,436,31,0,0,159,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.252636,2026-07-01T19:13:39.252,1226840,COM20,,serial,2698500,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698500,537,53,0,1311,0,160,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,537,53,0,1311,537,53,0,0,160,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.272963,2026-07-01T19:13:39.272,1226860,COM20,,serial,2698520,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698520,537,53,0,1311,0,160,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,537,53,0,1311,537,53,0,0,160,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.292058,2026-07-01T19:13:39.292,1226880,COM20,,serial,2698540,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698540,537,53,0,1311,0,160,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,537,53,0,1311,537,53,0,0,160,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.312024,2026-07-01T19:13:39.312,1226900,COM20,,serial,2698560,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698560,532,39,0,1310,0,161,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,532,39,0,1310,532,39,0,0,161,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.332860,2026-07-01T19:13:39.332,1226920,COM20,,serial,2698580,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698580,532,39,0,1310,0,161,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,532,39,0,1310,532,39,0,0,161,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.352672,2026-07-01T19:13:39.352,1226940,COM20,,serial,2698600,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698600,510,50,0,1311,0,162,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,510,50,0,1311,510,50,0,0,162,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.372859,2026-07-01T19:13:39.372,1226960,COM20,,serial,2698620,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698620,510,50,0,1311,0,162,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,510,50,0,1311,510,50,0,0,162,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.392579,2026-07-01T19:13:39.392,1226980,COM20,,serial,2698640,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698640,510,50,0,1311,0,162,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,510,50,0,1311,510,50,0,0,162,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
